FID,INDICATIVO,NOMBRE,PROVINCIA,ALTITUD,COORD_X,COORD_Y,VAR_OBSVER,DATUM,TIPO
317,5733X,"ALMADEN PLATA, LAS NAVAS",SEVILLA,450.000000000000000,229227.000000000000000,4187096.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
318,5771M,SANTA OLALLA ""LA LOMA DEL CUARTÓN"",HUELVA,455.000000000000000,220511.000000000000000,4190813.000000000000000, ,ETRS89,AUTOMATICAS
319,5783,SEVILLA/SAN PABLO,SEVILLA,34.000000000000000,245199.000000000000000,4144990.000000000000000,RheENvIHBVmtTMpP,ETRS89,AUTOMATICAS
320,5790Y,SEVILLA 'TABLADA AUT THIES',SEVILLA,9.000000000000000,233801.000000000000000,4139513.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
321,5796,MORÓN DE LA FRONTERA,SEVILLA,87.000000000000000,268128.000000000000000,4116310.000000000000000,heNvIHBVmtTMpP,ETRS89,AUTOMATICAS
322,5835X,CARRIÓN DE LOS CÉSPEDES,SEVILLA,76.000000000000000,204699.000000000000000,4140029.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
323,5858X,"ALMONTE, DOÑANA",HUELVA,5.000000000000000,193553.000000000000000,4099155.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
324,5860E,EL ARENOSILLO,HUELVA,41.000000000000000,167765.000000000000000,4112295.000000000000000,UiDdRhHBVmtTMpP,ETRS89,AUTOMATICAS
325,5860H,EVC_DOÑANA,HUELVA,36.000000000000000,183825.000000000000000,4106552.000000000000000, ,ETRS89,AUTOMATICAS
326,5891X,"LAS CABEZAS DE SAN JUAN, MAJOLETO",SEVILLA,105.000000000000000,246531.000000000000000,4093484.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
327,5910X,ROTA B.N. 'AUTOMÁTICA',CADIZ,21.000000000000000,202042.000000000000000,4059991.000000000000000, ,ETRS89,AUTOMATICAS
328,5911A,GRAZALEMA (EMA),CADIZ,913.000000000000000,288078.000000000000000,4070940.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
329,5919X,OLVERA-COOP.AGRÍCOLA,CADIZ,530.000000000000000,298769.000000000000000,4089678.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
330,5941X,"EL BOSQUE, SAN JOSÉ",CADIZ,295.000000000000000,275662.000000000000000,4067803.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
331,5950X,SAN JOSE DEL VALLE-PT GUADALCACÍN,CADIZ,105.000000000000000,251236.000000000000000,4061199.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
332,5960,JEREZ DE LA FRONTERA/AEROPUERTO,CADIZ,27.000000000000000,227181.000000000000000,4071559.000000000000000,RheNvIHBVmtTMpP,ETRS89,AUTOMATICAS
333,5972X,SAN FERNANDO,CADIZ,28.000000000000000,212754.000000000000000,4040368.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
334,5973,"CÁDIZ,OBS.",CADIZ,2.000000000000000,208201.000000000000000,4044317.000000000000000,UdRhreNvIHBVmtTMpP,ETRS89,AUTOMATICAS
335,5983X,"MEDINA SIDONIA, EL HUNDIDO",CADIZ,70.000000000000000,238125.000000000000000,4032989.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
336,5996B,"BARBATE, DEPURADORA",CADIZ,4.000000000000000,238333.000000000000000,4008394.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
337,5998X,"OSUNA, SEA",SEVILLA,255.000000000000000,312627.000000000000000,4123959.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
338,6001,TARIFA,CADIZ,32.000000000000000,265784.000000000000000,3988615.000000000000000,heNvIHBVmtTMpP,ETRS89,AUTOMATICAS
339,6032B,RONDA,MALAGA,766.000000000000000,306426.000000000000000,4069302.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
340,6032X,"RONDA, IES",MALAGA,753.000000000000000,306402.000000000000000,4069333.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
341,6040X,CORTES DE LA FRONTERA,MALAGA,315.000000000000000,286390.000000000000000,4046989.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
342,6042I,JIMENA DE LA FRONTERA-EL DORADO,CADIZ,42.000000000000000,285319.000000000000000,4034927.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
343,6045X,ALPANDEIRE,MALAGA,676.000000000000000,303027.000000000000000,4056367.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
344,6050X,GAUCÍN,MALAGA,594.000000000000000,292389.000000000000000,4043974.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
345,6056X,"SAN ROQUE, SOTOGRANDE",CADIZ,1.000000000000000,294804.000000000000000,4016657.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
346,6057X,MANILVA,MALAGA,140.000000000000000,297273.000000000000000,4028286.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
347,6069X,"BENAHAVIS, LA ZAGALETA",MALAGA,392.000000000000000,318766.000000000000000,4046154.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
348,6076X,"MARBELLA, PUERTO BANUS",MALAGA,2.000000000000000,325049.000000000000000,4039457.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
349,6083X,"MARBELLA, CABOPINO",MALAGA,2.000000000000000,344109.000000000000000,4038999.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
350,6084X,FUENGIROLA,MALAGA,8.000000000000000,355136.000000000000000,4044910.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
351,6100B,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES),MALAGA,511.000000000000000,361014.000000000000000,4098664.000000000000000,mtTMpP,ETRS89,AUTOMATICAS
352,6106X,ANTEQUERA-BOBADILLA,MALAGA,408.000000000000000,344493.000000000000000,4099568.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
353,6127X,"ÁLORA, LAS PELONAS",MALAGA,172.000000000000000,348744.000000000000000,4080101.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
354,6143X,COÍN,MALAGA,230.000000000000000,342621.000000000000000,4058354.000000000000000,hHBmtTMpP,ETRS89,AUTOMATICAS
355,6156X,"MÁLAGA,CMT",MALAGA,54.000000000000000,367677.000000000000000,4064589.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
356,6172X,MÁLAGA,MALAGA,25.000000000000000,373208.000000000000000,4064382.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
357,6175X,RINCON DE LA VICTORIA,MALAGA,7.000000000000000,385138.000000000000000,4064028.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
358,6199B,VÉLEZ-MALAGA,MALAGA,62.000000000000000,402259.000000000000000,4070534.000000000000000,hHBmtTMpP,ETRS89,AUTOMATICAS
359,6201X,"ALGARROBO, LA MAYORA",MALAGA,40.000000000000000,406821.000000000000000,4068295.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
360,6213X,"NERJA,CUEVAS DE NERJA",MALAGA,169.000000000000000,424557.000000000000000,4068890.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
361,6258X,LANJARÓN,GRANADA,715.000000000000000,456135.000000000000000,4086450.000000000000000,hHBmtTMpP,ETRS89,AUTOMATICAS
362,6267X,SALOBREÑA,GRANADA,20.000000000000000,448348.000000000000000,4067111.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
363,6268X,"MOTRIL,CLUB NAÚTICO",GRANADA,12.000000000000000,452772.000000000000000,4064404.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
364,6268Y,"MOTRIL, PUERTO NAÚTICO",GRANADA,1.000000000000000,452747.000000000000000,4064343.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
365,6272X,CASTELL DEL FERRO,GRANADA,235.000000000000000,466072.000000000000000,4065451.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
